safety is reflected in the everyday attitudes and behaviors of our employees even when they are nt at work upon spotting a fuel leak during a flight  a quick thinking aerospace engineer at our marshall space flight center alerted the flight crew and the plane was able to safely land read more on how this story unfolded http go nasa gov 2h6uhjy,NASA
lead mission control make real time decisions to keep astronauts safe develop plans for future international space station missions if you re up for the challenge  apply to join our team as a flightdirector applications close today http go nasa gov 2qeb3mp,NASA
now available an e book that offers an inside look at the time and energy our flight control teams in houston devote to the development  planning and integration of a mission download it at https go usa gov xqbvh,NASA
from the sierra nevada in california to the snake river valley in idaho  a wide view of our beautiful planet was seen from the international space station on march 3 just days before the picture was taken  the sierra nevada received a near record amount of snowfall  blanketing the landscape in white more http go nasa gov 2h2vi5j,NASA
love our snaps  we need your help  our snapchat has been nominated for a webby award  along with five of our other digital efforts  through april 19  you can vote for the nominees to receive the people s voice award help us win https vote webbyawards com publicvoting 2018 social content marketing education discovery,NASA
imagine having to hit a target the size of a quarter with a laser beam from a mile away deployed from the international space station  this tiny satellite with big potential is using same precision to measure the brightness of stars over multiple orbits around the earth get the details http go nasa gov 2hrhfyr,NASA
damages could amount to billions of dollars  the judge says,bbcnews
this toilet trains astronauts to use the loo in space,bbcnews
poor kitty the owners are being sought to find out how this happened,bbcnews
null,bbcnews
it s not as easy to recycle your takeaway coffee cup as you may have thought,bbcnews
a southwest airlines passenger jet made an emergency landing in the us after a part of its engine disintegrated one person has died  according to officials,bbcnews
have leftovers  make a tart,nytimes
republicans hoped to make their 1 5 trillion overhaul the centerpiece of the 2018 midterm elections but americans  including president trump  have lost interest,nytimes
anne ohare mccormick was interviewing mussolini  stalin and hitler when most women were writing for the society pages,nytimes
the supreme court struck down a law that allowed the government to deport some immigrants who commit serious crimes  saying it was unconstitutionally vague,nytimes
in a blow to president trump  a judge rejected a request by him and his lawyer michael cohen to review files seized in fbi raids one reader s reaction read the story https nyti ms 2h7e9fr,nytimes
cambridge analytica quietly sought to develop its own virtual currency in recent months that took the firm into more murky ethical and legal situations,nytimes
today s deal save 30 on besiege  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends thursday at 10am pacific time,steam
save 66 on darkest dungeon during this week s midweek madness  offer ends friday at 10am pacific time,steam
hero academy 2 is now available on steam early access  sequel to the original tactical strategy game  hero academy 2 adds card collection  deck building  and real time matches ,steam
ys viii lacrimosa of dana viii lacrimosa of dana is now available on steam  ys returns with a brand new adventure for the first time in 8 years  adol awakens shipwrecked and stranded on a cursed island there  he and the other shipwrecked passengers he rescues form a village to challenge fearsome beasts and mysterious ruins on the isolated island,steam
today s deal save 25 on wolcen lords of mayhem  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends wednesday at 10am pacific time,steam
today s deal save 50 on helldivers  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends tuesday at 10am pacific time,steam
we took a peek into your future it s likely you ll be your own boss http linkd in 1txxasj,linkedin
happy 84th birthday  warren buffett  here s a tip for the rest of us who want to live like buffett http linkd in 1qzvq9x,linkedin
online or off  be present with the people and opportunities around you http linkd in 1tw13or,linkedin
before you ask your boss for a raise  master these 19 rules to increase your long term compensation http linkd in 1tbiiwv,linkedin
10 year old vivienne harr started selling lemonade to help end child slavery join us tomorrow for linkedin speaker series and hear from the make a stand lemon aid lemonpreneur herself http bit ly vouhde,linkedin
